# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
26369,39.38999939,-76.61599731,11.1294,33.3882,106657.3717,0.364664733,6.7943573,0.600882578
21847,41.80699921,-88.23899841,16.8966,50.6898,188035.3084,0.423462272,7.429811954,0.698849794
27304,40.07600021,-85.70899963,63.828,191.484,711295.8587,0.424046695,7.509230137,0.969792519
7503,46.50099945,-95.58899689,23.571,70.713,284426.358,0.459162563,7.78503561,1.05127833
7250,46.47600174,-89.84899902,25.6122,76.8366,299684.2041,0.445237368,7.786233425,1.020895954
11287,45.20199966,-92.9469986,17.091,51.273,192951.487,0.429591119,7.415352821,0.989048049
21886,41.31100082,-81.81900024,3.4911,10.4733,38064.81264,0.414892942,7.437019825,0.694988136
51871,32.38700104,-97.72200012,62.9856,188.9568,681964.7576,0.411998183,7.281672001,1.001121595
42540,35.64199829,-101.4309998,111.456,334.368,1423052.96,0.48583886,8.56257534,1.312992928
52962,31.90099907,-95.28900146,30.3588,91.0764,312316.0811,0.391457289,7.086446762,0.955571089
15723,41.68000031,-70.90100098,5.71455,17.14365,67381.31428,0.448675215,7.73731184,0.4881227
50552,32.09600067,-81.16999817,1.9065375,5.7196125,16408.09518,0.327482015,6.4129529,0.668539448
25252,40.93000031,-90.38700104,97.4592,292.3776,1158376.947,0.452274084,7.758351326,1.062326908
55129,30.46299934,-86.91200256,45.6516,136.9548,390196.4093,0.325238466,6.471782207,0.668905005
36506,37.61399841,-97.30200195,31.752,95.256,417741.6249,0.500623584,8.458567619,1.380378134
42708,34.62799835,-79.02300262,6.2613,18.7839,60037.42885,0.364865005,6.756784916,1.006197966
6406,46.86000061,-92.86000061,2.962575,8.887725,33237.05968,0.426901698,7.406606674,1.023477246
21824,41.95000076,-91.6269989,50.5764,151.7292,577043.982,0.434145838,7.495949745,1.044458333
36381,36.22399902,-115.1470032,0.59383125,1.78149375,3043.056354,0.194994152,4.807855606,0.493876404
25589,40.85900116,-91.12000275,60.2316,180.6948,673796.9417,0.425676107,7.387230873,1.027801155
54477,31.10000038,-97.44000244,29.7108,89.1324,320815.357,0.410880417,7.258792877,1.052158673
30825,39.37799835,-96.91200256,124.092,372.276,1615633.384,0.495420158,8.433947563,1.421462208
58116,25.70400047,-80.4469986,7.7193,23.1579,52166.64661,0.257151842,5.784062862,0.633515894
4226,47.77000046,-95.58000183,19.116,57.348,233251.7248,0.46430406,7.947338581,1.144865414
28607,39.88399887,-88.90100098,63.5688,190.7064,698926.7804,0.418371707,7.369353771,1.031751364
4548,45.66500092,-120.2109985,128.304,384.912,1351447.968,0.400805593,7.259434223,1.03846923
36196,37.71699905,-95.50499725,102.9024,308.7072,1275645.754,0.471714497,8.085541725,1.358168006
32463,38.88399887,-94.51000214,61.3008,183.9024,747108.7639,0.463758975,8.071437836,1.343596677
17568,43.25699997,-93.19499969,111.3912,334.1736,1386884.769,0.473766267,7.960963249,1.18346365
43484,35.45000076,-97.66400146,58.5468,175.6404,768915.1917,0.49974668,8.60567379,1.47012073
52434,31.62899971,-84.21399689,37.2276,111.6828,312195.6206,0.319107056,6.278849602,0.705955426
50043,32.48199844,-82.77999878,34.0848,102.2544,287303.5487,0.320741296,6.297346592,0.709989354
56692,29.54500008,-89.7480011,0.27793125,0.83379375,2320.483517,0.317698926,6.433208466,0.603001941
49287,32.83100128,-83.23699951,65.0916,195.2748,527328.756,0.308269918,6.146553993,0.683457796
6356,46.81499863,-100.8769989,27.459,82.377,305420.8315,0.423241824,7.524558067,1.076580635
1858,48.75099945,-101.5449982,46.2348,138.7044,556490.5834,0.457997888,7.891951084,1.166498977
