Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW)
61116.0,Delano Land 1,PV,SUN,2017,1
61115.0,Manteca Land PV,PV,SUN,2017,1
61107.0,Vanadium Redox Flow Battery Plant,BA,MWH,2017,2
61104.0,Pima Community College,PV,SUN,2017,1
61097.0,Syncarpha Freetown,PV,SUN,2016,3
61096.0,Sampson Solar,PV,SUN,2015,2
61095.0,Railroad Farm 2,PV,SUN,2014,5
61094.0,Old Wire Farm,PV,SUN,2016,5
61093.0,Mills Anson Farm,PV,SUN,2016,5
61092.0,Independence Solar Farm,PV,SUN,2017,3
61091.0,Laurinburg Farm,PV,SUN,2015,5
61090.0,Kinston Davis Farm,PV,SUN,2015,5
61089.0,Fisher Solar Farm - NC,PV,SUN,2015,5
61088.0,Delco Farm,PV,SUN,2016,5
61087.0,Wadesboro Farm 1,PV,SUN,2015,5
61086.0,Tripple State Farm,PV,SUN,2016,5
61085.0,Stone Solar,PV,SUN,2016,5
61084.0,Luning Energy,PV,SUN,2017,50
61079.0,Beaver Creek Wind,WT,WND,2017,170
61076.0,City of Shelby Electric Distribution,IC,DFO,2016,1
61074.0,Pemberton Road II,PV,SUN,2017,9
61073.0,Pemberton Road I,PV,SUN,2017,9
61072.0,Lemond Solar,PV,SUN,2017,5
61069.0,"BWC Wading River One, Two, Three CSG",PV,SUN,2017,3
61067.0,Foundation Scheid Vineyards,WT,WND,2017,1
61066.0,Foundation CDCR LAC,WT,WND,2017,1
61058.0,Kramer Solar CSG,PV,SUN,2017,3
61056.0,Seward Wind Farm,WT,WND,2017,1
61055.0,DG AMP Solar Front Royal,PV,SUN,2017,2
61054.0,IMPA Anderson Solar Park 2,PV,SUN,2017,8
61053.0,Greenfield Solar Park,PV,SUN,2017,2
61048.0,Gala Solar,PV,SUN,2017,56
61043.0,Canandaigua Solar Array,PV,SUN,2016,2
61042.0,Canandaigua Westbrook Solar Array,PV,SUN,2017,2
61040.0,Twin Buttes II Wind,WT,WND,2017,75
61039.0,Deerfield Wind LLC,WT,WND,2017,30
61031.0,Floyd Road Solar Farm,PV,SUN,2017,5
61030.0,Harford Solar Farm,PV,SUN,2016,2
61027.0,Pacific Ethanol Stockton Cogen Plant,GT,NG,2016,4
61026.0,New York Presbyterian Hospital-168th St,IC,DFO,2000,10
61025.0,Montefiore - Westchester Square,IC,DFO,1983,1
61019.0,"Siler 421 Farm, LLC",PV,SUN,2016,5
61018.0,Stafford St Solar 3 CSG,PV,SUN,2017,1
61016.0,Stafford St Solar 1 CSG,PV,SUN,2017,2
61015.0,Musgrave West Solar Farm,PV,SUN,2016,2
61013.0,Marin Clean Energy Solar One,PV,SUN,2017,10
61012.0,Mill Seat Renewable Energy Facility,IC,LFG,2007,0
61009.0,Spring Street Solar 1 CSG,PV,SUN,2017,2
61008.0,Brook Street Solar 1 CSG,PV,SUN,2017,5
61007.0,Redbrook Community Solar 1,PV,SUN,2017,4
61006.0,SCDA Solar 1,PV,SUN,2017,7
61005.0,Whirlpool Corporation - Marion Wind Farm,WT,WND,2017,3
61003.0,Musgrave East Solar Farm,PV,SUN,2016,2
61002.0,"WED Portsmouth One, LLC",WT,WND,2016,1
61000.0,King Mill,HY,WAT,1944,1
60996.0,Iron Horse Battery Storage,BA,MWH,2017,12
60995.0,Ramona Solar Energy,PV,SUN,2017,4
60994.0,French's Landfill PV,PV,SUN,2014,6
60993.0,"Darlington Solar, LLC",PV,SUN,2016,10
60991.0,Sterling I Wind Farm,WT,WND,2017,29
60990.0,"Florence Solar W3-080, LLC",PV,SUN,2016,7
60989.0,SolaireHolman Solar Project,PV,SUN,2017,50
60987.0,Santa Rita Wind Energy,WT,WND,2017,300
